,user_id,match_id,map_kind,ius_score,total_score,total_score_s,total_score_l,total_score_of,total_score_no,total_oracle_requests,total_oracle_requests_s,total_oracle_requests_l,total_oracle_requests_of,total_oracle_requests_no,total_correct_strat
20220510-2205-amutz0,sSLkAyiJGyfuWGMqB28NaQeLUu02,20220510-2205-amutz0,spatial,31.0,6231.0,3110.0,3121.0,2711.0,3520.0,1.0,0.0,1.0,0.0,1.0,39.0
20220513-0006-jyqg7h,PShOeWbs66ROipFqmE7X5umMuf52,20220513-0006-jyqg7h,spatial,21.0,6563.0,3207.0,3356.0,3064.0,3499.0,27.0,15.0,12.0,26.0,1.0,65.0
20220515-1551-f404ft,wwy9jTySIifmUkZzQBIA90GjsKf1,20220515-1551-f404ft,spatial,23.0,6843.0,3136.0,3707.0,3385.0,3458.0,29.0,20.0,9.0,27.0,2.0,65.0
20220512-2316-kp2kgj,Pw0ij8004KOwy3h1nMMqt6WBY1N2,20220512-2316-kp2kgj,random,17.0,6373.0,3052.0,3321.0,3091.0,3282.0,43.0,23.0,20.0,40.0,3.0,77.0
20220607-1245-ycodf7,kkeZpTazhHYW3UfY4pSxlJJhNiO2,20220607-1245-ycodf7,spatial,21.0,6815.0,3234.0,3581.0,3202.0,3613.0,37.0,22.0,15.0,35.0,2.0,73.0
20220523-2353-zl9n5h,zB3kIuEzSRNwSadig8gB2LwnJJ73,20220523-2353-zl9n5h,spatial,45.0,6712.0,3214.0,3498.0,3225.0,3487.0,34.0,16.0,18.0,30.0,4.0,66.0
20220523-1634-myxo3m,zXVtuuaG8BVFaQNBU2YutfctFMf1,20220523-1634-myxo3m,spatial,36.0,6284.0,3017.0,3267.0,2902.0,3382.0,31.0,19.0,12.0,28.0,3.0,65.0
20220514-1223-uibl39,aPuJjRb0vRSkWenhLV8ypRUADq82,20220514-1223-uibl39,random,39.0,6241.0,3081.0,3160.0,2942.0,3299.0,27.0,14.0,13.0,27.0,0.0,67.0
20220529-1200-adqdni,hsA6AuDqZmgQAb39zv7nw53yH6y2,20220529-1200-adqdni,spatial,39.0,6697.0,3246.0,3451.0,3179.0,3518.0,41.0,20.0,21.0,38.0,3.0,75.0
20220515-1651-3uj14f,FJXFe9Y8vSXofmRmQKuNsdKJube2,20220515-1651-3uj14f,random,28.0,6272.0,3113.0,3159.0,3023.0,3249.0,35.0,17.0,18.0,35.0,0.0,75.0
20220609-1228-1zwgfu,H8aoa9utPFTQ5UffYIMvaVZfDQ43,20220609-1228-1zwgfu,spatial,33.0,6414.0,3052.0,3362.0,3139.0,3275.0,46.0,22.0,24.0,40.0,6.0,74.0
20220514-1532-1lp0hf,WNfVbLZRzzaCbbAdArYpRrNpfpw2,20220514-1532-1lp0hf,random,49.0,6204.0,3133.0,3071.0,2891.0,3313.0,27.0,18.0,9.0,24.0,3.0,61.0
20220519-1014-hwf4h8,5bTNtZnapiUr9V3sYEvoy0ygJL02,20220519-1014-hwf4h8,random,25.0,5475.0,2634.0,2841.0,2403.0,3072.0,17.0,9.0,8.0,8.0,9.0,39.0
20220620-1729-burs8l,ZdSY5ujbDkeCyh2lHYKxtOjnWzY2,20220620-1729-burs8l,spatial,26.0,6198.0,2987.0,3211.0,2983.0,3215.0,35.0,18.0,17.0,22.0,13.0,49.0
20220510-1614-3mfl9t,d3hIszwH9iYMLn4rzrGmceWXpJ82,20220510-1614-3mfl9t,random,23.0,6518.0,3234.0,3284.0,3082.0,3436.0,30.0,16.0,14.0,30.0,0.0,70.0
20220513-0700-xcetrr,CkwZS30jA6Pqld7lqKxIp93mFJF3,20220513-0700-xcetrr,random,20.0,6081.0,3036.0,3045.0,2857.0,3224.0,25.0,13.0,12.0,22.0,3.0,59.0
20220515-1729-3xjoa9,S5TryXjDYDQoTYwzK2dYIllxI6z1,20220515-1729-3xjoa9,spatial,14.0,6590.0,3193.0,3397.0,3115.0,3475.0,33.0,18.0,15.0,33.0,0.0,73.0
20220516-1550-579506,N64a25Wm3OTIDLQzU0wfKMEKB2w1,20220516-1550-579506,random,35.0,5858.0,2842.0,3016.0,2551.0,3307.0,16.0,10.0,6.0,13.0,3.0,50.0
20220620-1803-81zgy2,QFo8qMZYCVMNCIWWU8qaibbVfqp2,20220620-1803-81zgy2,random,40.0,5753.0,2885.0,2868.0,2637.0,3116.0,9.0,3.0,6.0,4.0,5.0,39.0
20220516-1641-jkd61c,VuhMAgCs1hbbNaYomEaKS4zOQt33,20220516-1641-jkd61c,random,34.0,6148.0,3014.0,3134.0,2884.0,3264.0,23.0,11.0,12.0,23.0,0.0,63.0
20220525-0943-fsjxcy,UwSCxAilvgbt3U15kX8zaNe0TRJ3,20220525-0943-fsjxcy,random,22.0,6356.0,3146.0,3210.0,3056.0,3300.0,35.0,19.0,16.0,33.0,2.0,71.0
20220513-0907-ce0g3g,uzzT0dDQYXQyf67HSVbEfFgU5ni2,20220513-0907-ce0g3g,random,43.0,5729.0,2800.0,2929.0,2426.0,3303.0,4.0,3.0,1.0,4.0,0.0,44.0
20220523-1958-chr6xc,ARZDTpmkDgcVcDfRabny5dATVkC3,20220523-1958-chr6xc,spatial,40.0,6478.0,3157.0,3321.0,3030.0,3448.0,25.0,16.0,9.0,23.0,2.0,61.0
20220515-2243-1e5kqd,aB5mEUpjAdfptfiq3kZYSlYzLF53,20220515-2243-1e5kqd,random,36.0,6179.0,3002.0,3177.0,2965.0,3214.0,26.0,14.0,12.0,20.0,6.0,54.0
20220514-1835-fhmhx7,h2kpOPr1LtRhqnIjf62L5WC12HJ2,20220514-1835-fhmhx7,random,29.0,6340.0,3179.0,3161.0,3130.0,3210.0,37.0,15.0,22.0,30.0,7.0,63.0
20220513-1457-yqqhof,TL662V4FDxfA9OEyODueth32KZg2,20220513-1457-yqqhof,random,18.0,6033.0,2900.0,3133.0,2872.0,3161.0,32.0,16.0,16.0,23.0,9.0,54.0
20220621-1739-g5z15y,646Ef6V36QbSImvuLgs2Cetwg5S2,20220621-1739-g5z15y,spatial,13.0,6895.0,3247.0,3648.0,3332.0,3563.0,2.0,2.0,0.0,2.0,0.0,42.0
