,map,user_id,trial,oracle_requested,score,ts_started,ts_finished,end_type,n_gems_collected,optimal_score,performance,gem_ev,match_id,match_nick,map_kind,cond_map_size,cond_best_strat,cond_gap_size,cond_oracle_acc,retry_response,correct_strat,oracle_request_idx,n_moves,avg_vel
20220510-2205-amutz0_mSsOFgLoA_1,mSsOFgLoA_1,sSLkAyiJGyfuWGMqB28NaQeLUu02,0.0,0.0,64.0,1652213112630.0,1652213137215.0,max_gems,5.0,67.0,0.9552238805970149,45.625,20220510-2205-amutz0,amutz0[spatial],spatial,S,OF,L,A,-1.0,0.0,-1.0,14,1.5816428571428571
20220510-2205-amutz0_mSsOFgSoA_3,mSsOFgSoA_3,sSLkAyiJGyfuWGMqB28NaQeLUu02,1.0,0.0,44.0,1652213143238.0,1652213182164.0,max_gems,5.0,90.0,0.4888888888888889,72.5,20220510-2205-amutz0,amutz0[spatial],spatial,S,OF,S,A,-1.0,0.0,-1.0,19,1.9997894736842106
20220510-2205-amutz0_mSsNOgLoI_5,mSsNOgLoI_5,sSLkAyiJGyfuWGMqB28NaQeLUu02,2.0,0.0,91.0,1652213185239.0,1652213216349.0,max_gems,5.0,88.12499999999999,1.0326241134751775,88.125,20220510-2205-amutz0,amutz0[spatial],spatial,S,NO,L,I,-1.0,1.0,-1.0,17,1.7781764705882352
20220510-2205-amutz0_mSsNOgSoI_2,mSsNOgSoI_2,sSLkAyiJGyfuWGMqB28NaQeLUu02,3.0,0.0,76.0,1652213218639.0,1652213293315.0,max_gems,5.0,64.99999999999999,1.1692307692307695,65.0,20220510-2205-amutz0,amutz0[spatial],spatial,S,NO,S,I,0.0,1.0,-1.0,23,3.2270434782608692
20220510-2205-amutz0_mLsNOgLoA_3,mLsNOgLoA_3,sSLkAyiJGyfuWGMqB28NaQeLUu02,4.0,0.0,82.0,1652213300863.0,1652213323567.0,max_gems,5.0,77.81249999999999,1.0538152610441769,77.8125,20220510-2205-amutz0,amutz0[spatial],spatial,L,NO,L,A,-1.0,1.0,-1.0,14,1.5847857142857145
20220510-2205-amutz0_mSsOFgLoI_4,mSsOFgLoI_4,sSLkAyiJGyfuWGMqB28NaQeLUu02,5.0,0.0,42.0,1652213326080.0,1652213367702.0,max_gems,5.0,69.0,0.6086956521739131,46.25,20220510-2205-amutz0,amutz0[spatial],spatial,S,OF,L,I,-1.0,0.0,-1.0,22,1.869409090909091
20220510-2205-amutz0_mSsNOgLoA_2,mSsNOgLoA_2,sSLkAyiJGyfuWGMqB28NaQeLUu02,6.0,0.0,86.0,1652213369834.0,1652213388229.0,max_gems,5.0,81.875,1.050381679389313,81.875,20220510-2205-amutz0,amutz0[spatial],spatial,S,NO,L,A,-1.0,1.0,-1.0,24,0.746125
20220510-2205-amutz0_mLsOFgSoI_3,mLsOFgSoI_3,sSLkAyiJGyfuWGMqB28NaQeLUu02,7.0,0.0,39.0,1652213389786.0,1652213416221.0,max_gems,5.0,90.0,0.43333333333333335,79.375,20220510-2205-amutz0,amutz0[spatial],spatial,L,OF,S,I,1.0,0.0,-1.0,18,1.4462222222222223
20220510-2205-amutz0_mLsOFgLoA_2,mLsOFgLoA_2,sSLkAyiJGyfuWGMqB28NaQeLUu02,8.0,0.0,95.0,1652213421857.0,1652213443057.0,max_gems,5.0,90.0,1.0555555555555556,60.9375,20220510-2205-amutz0,amutz0[spatial],spatial,L,OF,L,A,-1.0,0.0,-1.0,18,1.1486111111111112
20220510-2205-amutz0_mLsOFgLoI_3,mLsOFgLoI_3,sSLkAyiJGyfuWGMqB28NaQeLUu02,9.0,0.0,54.0,1652213445281.0,1652213473905.0,max_gems,5.0,90.0,0.6,50.9375,20220510-2205-amutz0,amutz0[spatial],spatial,L,OF,L,I,-1.0,0.0,-1.0,17,1.6598235294117647
20220510-2205-amutz0_mLsNOgSoI_3,mLsNOgSoI_3,sSLkAyiJGyfuWGMqB28NaQeLUu02,10.0,0.0,97.0,1652213476379.0,1652213498970.0,max_gems,5.0,80.3125,1.207782101167315,80.3125,20220510-2205-amutz0,amutz0[spatial],spatial,L,NO,S,I,-1.0,1.0,-1.0,17,1.280764705882353
20220510-2205-amutz0_mSsOFgSoI_3,mSsOFgSoI_3,sSLkAyiJGyfuWGMqB28NaQeLUu02,11.0,0.0,59.0,1652213500424.0,1652213520400.0,max_gems,5.0,72.0,0.8194444444444444,61.875,20220510-2205-amutz0,amutz0[spatial],spatial,S,OF,S,I,0.0,0.0,-1.0,25,0.7799200000000001
